iter	RMSE
0	78080.92182
1	78055.09664
2	78038.76126
3	78000.57525
4	77962.22162
5	77934.00021
6	77897.7753
7	77875.29629
8	77858.38375
9	77827.74159
10	77807.43992
11	77776.26723
12	77743.47345
13	77712.79835
14	77679.61648
15	77656.15834
16	77631.82147
17	77599.15711
18	77567.08891
19	77547.87357
20	77527.36391
21	77507.206
22	77486.04088
23	77458.53168
24	77420.6876
25	77386.83654
26	77366.10426
27	77348.62936
28	77328.15826
29	77310.67523
30	77278.96205
31	77259.21629
32	77240.66913
33	77211.02203
34	77177.58821
35	77158.29261
36	77134.04811
37	77103.12728
38	77072.09545
39	77043.28664
40	77035.42018
41	77016.48069
42	76991.41458
43	76964.92592
44	76954.16988
45	76935.56072
46	76910.34754
47	76892.10439
48	76862.36804
49	76837.85276
50	76812.3128
51	76788.23583
52	76759.2502
53	76751.92091
54	76735.52018
55	76715.359
56	76685.75557
57	76662.83871
58	76648.4315
59	76624.09886
60	76609.18912
61	76580.30037
62	76559.97389
63	76545.17224
64	76516.69765
65	76496.82896
66	76488.54586
67	76471.44808
68	76455.95204
69	76447.70921
70	76423.87338
71	76411.90746
72	76393.24708
73	76369.21874
74	76341.53297
75	76320.58103
76	76310.63094
77	76290.54315
78	76275.29475
79	76253.16028
80	76232.09415
81	76207.48318
82	76193.98828
83	76175.83043
84	76157.05731
85	76145.54438
86	76121.97866
87	76101.91974
88	76087.23858
89	76080.83424
90	76062.35748
91	76046.72862
92	76031.3577
93	76017.42151
94	76001.1863
95	75990.97204
96	75971.67802
97	75948.82516
98	75939.2589
99	75926.78503
100	75912.63095
101	75894.94599
102	75874.42668
103	75851.84592
104	75832.05467
105	75812.884
106	75806.35197
107	75787.08859
108	75777.64231
109	75768.27327
110	75750.66216
111	75741.07927
112	75721.92151
113	75705.61618
114	75697.22942
115	75686.01637
116	75666.78488
117	75652.72271
118	75638.79514
119	75626.32508
120	75612.92482
121	75595.2473
122	75576.51517
123	75569.75752
124	75556.99102
125	75550.30848
126	75538.12875
127	75528.55057
128	75518.22772
129	75502.49046
130	75495.14247
131	75486.26318
132	75470.41949
133	75457.43294
134	75444.65814
135	75426.43502
136	75413.1359
137	75398.36446
138	75385.66343
139	75370.39147
140	75359.19958
141	75346.71166
142	75339.09098
143	75321.98917
144	75310.17379
145	75300.90208
146	75293.55573
147	75279.37114
148	75270.26656
149	75252.63121
150	75241.20505
151	75226.37491
152	75216.49324
153	75202.66375
154	75187.63588
155	75179.98217
156	75162.3905
157	75154.24889
158	75152.37582
159	75136.31426
160	75130.04907
161	75120.24917
162	75114.49241
163	75107.23152
164	75094.04323
165	75081.48743
166	75073.02244
167	75060.54551
168	75057.28979
169	75043.90631
170	75038.66415
171	75029.20716
172	75028.23773
173	75017.8129
174	74999.1121
175	74982.01324
176	74974.847
177	74959.865
178	74948.65359
179	74936.59448
180	74926.28173
181	74917.3666
182	74903.08782
183	74891.8412
184	74884.52901
185	74876.47459
186	74863.52685
187	74858.69492
188	74852.13285
189	74836.41473
190	74828.08267
191	74820.68767
192	74813.87937
193	74800.40347
194	74785.37589
195	74768.25288
196	74760.4665
197	74754.12956
198	74742.76625
199	74725.75347
200	74720.72748
201	74714.30169
202	74701.89663
203	74697.14749
204	74692.07085
205	74686.84101
206	74677.62626
207	74668.83568
208	74661.39079
209	74645.91755
210	74634.63932
211	74627.12667
212	74617.91965
213	74614.56837
214	74600.3999
215	74600.3999
216	74588.16303
217	74577.82842
218	74573.15816
219	74560.96063
220	74555.42358
221	74545.43425
222	74536.15314
223	74526.13722
224	74515.14887
225	74511.03192
226	74505.74902
227	74497.17883
228	74493.63495
229	74489.51793
230	74483.93638
231	74472.07852
232	74467.85638
233	74463.03425
234	74455.57238
235	74448.6895
236	74441.30388
237	74438.2647
238	74432.08245
239	74424.5064
