iter	Passed	Remaining
0	46	46466
1	79	39726
2	119	39685
3	160	39872
4	200	39942
5	232	38461
6	259	36845
7	293	36344
8	307	33811
9	345	34169
10	377	33906
11	409	33692
12	440	33438
13	469	33079
14	501	32921
15	522	32113
16	546	31607
17	580	31685
18	618	31932
19	644	31579
20	674	31449
21	709	31542
22	739	31415
23	776	31591
24	810	31590
25	836	31330
26	864	31140
27	890	30929
28	925	30973
29	954	30872
30	995	31116
31	1027	31096
32	1060	31078
33	1106	31427
34	1148	31676
35	1191	31918
36	1229	31997
37	1261	31933
38	1294	31890
39	1331	31955
40	1361	31847
41	1402	31986
42	1442	32112
43	1476	32076
44	1487	31573
45	1520	31535
46	1558	31600
47	1598	31703
48	1642	31871
49	1672	31784
50	1700	31642
51	1734	31628
52	1770	31643
53	1800	31546
54	1832	31489
55	1865	31452
56	1897	31388
57	1937	31461
58	1974	31485
59	2000	31346
60	2018	31078
61	2057	31131
62	2078	30911
63	2103	30769
64	2137	30750
65	2165	30651
66	2192	30526
67	2221	30444
68	2247	30324
69	2274	30216
70	2311	30248
71	2346	30244
72	2387	30316
73	2412	30185
74	2455	30289
75	2486	30235
76	2511	30106
77	2546	30098
78	2569	29956
79	2599	29897
80	2638	29939
81	2666	29854
82	2691	29741
83	2720	29663
84	2748	29589
85	2775	29501
86	2809	29484
87	2850	29542
88	2884	29521
89	2918	29513
90	2947	29447
91	2981	29430
92	3018	29443
93	3047	29370
94	3084	29381
95	3111	29296
96	3147	29303
97	3172	29199
98	3202	29142
99	3226	29034
100	3252	28951
101	3288	28948
102	3325	28963
103	3359	28945
104	3395	28946
105	3429	28920
106	3457	28852
107	3489	28819
108	3517	28751
109	3547	28699
110	3582	28692
111	3625	28747
112	3653	28678
113	3676	28577
114	3707	28529
115	3744	28536
116	3776	28500
117	3813	28501
118	3843	28453
119	3865	28349
120	3890	28265
121	3928	28273
122	3959	28228
123	4000	28258
124	4038	28269
125	4051	28102
126	4085	28084
127	4119	28061
128	4132	27901
129	4168	27897
130	4205	27895
131	4236	27857
132	4272	27850
133	4304	27816
134	4318	27669
135	4354	27663
136	4382	27609
137	4415	27581
138	4451	27570
139	4477	27502
140	4496	27394
141	4532	27387
142	4564	27356
143	4583	27247
144	4612	27196
145	4647	27182
146	4676	27137
147	4715	27148
148	4753	27150
149	4782	27103
150	4818	27091
151	4850	27060
152	4887	27055
153	4925	27056
154	4960	27040
155	4985	26973
156	5010	26905
157	5041	26867
158	5053	26729
159	5084	26694
160	5109	26626
161	5138	26579
162	5172	26561
163	5201	26513
164	5232	26477
165	5270	26481
166	5297	26423
167	5331	26403
168	5369	26405
169	5395	26343
170	5419	26275
171	5449	26235
172	5468	26139
173	5498	26100
174	5533	26085
175	5570	26080
176	5601	26045
177	5638	26039
178	5671	26014
179	5707	26002
180	5742	25982
181	5774	25952
182	5791	25856
183	5829	25851
184	5858	25811
185	5885	25758
186	5898	25644
187	5925	25592
188	5961	25580
189	5999	25575
190	6034	25559
191	6061	25507
192	6075	25402
193	6114	25403
194	6137	25335
195	6166	25294
196	6194	25249
197	6224	25213
198	6255	25178
199	6286	25147
200	6323	25138
201	6350	25085
202	6385	25069
203	6414	25031
204	6478	25125
205	6515	25112
206	6550	25095
207	6581	25060
208	6610	25019
209	6650	25018
210	6686	25002
211	6711	24948
212	6749	24936
213	6770	24865
214	6804	24842
215	6809	24715
216	6848	24710
217	6872	24654
218	6908	24635
219	6947	24632
220	6985	24621
221	7022	24610
222	7059	24597
223	7095	24581
224	7124	24540
225	7155	24504
226	7184	24463
227	7214	24427
228	7232	24349
229	7268	24333
230	7300	24302
231	7331	24269
232	7361	24233
233	7399	24222
234	7426	24174
235	7453	24128
236	7480	24083
237	7501	24015
238	7522	23953
239	7550	23908
240	7574	23854
241	7613	23846
242	7639	23798
243	7670	23767
244	7697	23719
245	7730	23693
246	7756	23645
247	7786	23609
248	7823	23597
249	7843	23529
250	7848	23420
251	7882	23397
252	7895	23311
253	7919	23258
254	7948	23222
255	7978	23188
256	8011	23162
257	8035	23109
258	8066	23078
259	8079	22996
260	8113	22972
261	8150	22958
262	8191	22953
263	8230	22945
264	8260	22910
265	8291	22880
266	8322	22849
267	8351	22810
268	8387	22792
269	8423	22775
270	8454	22743
271	8494	22736
272	8528	22710
273	8561	22684
274	8575	22607
275	8598	22556
276	8635	22538
277	8645	22453
278	8674	22416
279	8700	22373
280	8730	22338
281	8766	22321
282	8802	22301
283	8842	22292
284	8876	22269
285	8893	22201
286	8916	22150
287	8954	22138
288	8988	22114
289	9024	22094
290	9057	22067
291	9102	22069
292	9141	22058
293	9176	22035
294	9213	22018
295	9240	21976
296	9273	21951
297	9314	21943
298	9355	21933
299	9391	21913
300	9427	21892
301	9445	21830
302	9479	21806
303	9509	21770
304	9526	21707
305	9557	21675
306	9595	21660
307	9632	21641
308	9672	21629
309	9703	21598
310	9735	21569
311	9764	21531
312	9799	21509
313	9805	21421
314	9835	21388
315	9869	21363
316	9899	21328
317	9904	21241
318	9935	21209
319	9969	21184
320	9989	21130
321	10016	21089
322	10052	21069
323	10075	21021
324	10084	20945
325	10122	20927
326	10145	20880
327	10182	20861
328	10214	20832
329	10247	20806
330	10276	20770
331	10308	20740
332	10321	20674
333	10353	20644
334	10363	20572
335	10402	20557
336	10441	20542
337	10480	20527
338	10498	20470
339	10522	20425
340	10554	20396
341	10584	20364
342	10618	20339
343	10647	20305
344	10683	20283
345	10713	20250
346	10747	20224
347	10784	20204
348	10827	20196
349	10867	20182
350	10887	20131
351	10923	20108
352	10956	20082
353	10993	20061
354	11019	20021
355	11054	19997
356	11090	19975
357	11125	19951
358	11156	19919
359	11190	19893
360	11216	19854
361	11237	19805
362	11268	19773
363	11298	19742
364	11320	19695
365	11356	19672
366	11384	19635
367	11424	19619
368	11441	19565
369	11466	19523
370	11492	19484
371	11502	19418
372	11544	19406
373	11580	19383
374	11595	19325
375	11633	19306
376	11665	19277
377	11689	19235
